"Date","Price","Open","High","Low","Vol.","Change %"
"11/14/2025","22,821.05","22,714.30","22,863.50","22,655.70","22.41M","0.59%"
"11/13/2025","22,686.80","22,644.65","22,828.55","22,595.40","29.15M","0.41%"
"11/12/2025","22,593.40","22,453.25","22,616.65","22,333.85","34.65M","1.00%"
"11/11/2025","22,369.60","22,426.70","22,442.40","22,265.15","17.16M","-0.05%"
"11/10/2025","22,379.85","22,249.10","22,422.50","22,212.80","21.65M","0.95%"
"11/07/2025","22,169.80","22,260.95","22,320.00","22,105.20","18.22M","-0.36%"
"11/06/2025","22,250.55","22,393.85","22,474.55","22,167.95","35.76M","-0.38%"
"11/04/2025","22,334.45","22,475.30","22,494.90","22,286.00","22.30M","-0.48%"
"11/03/2025","22,442.60","22,187.10","22,472.85","22,154.95","1.25M","1.20%"
"10/31/2025","22,175.40","22,251.55","22,312.20","22,147.85","22.38M","-0.55%"
"10/30/2025","22,298.20","22,388.15","22,388.15","22,105.40","31.91M","-0.59%"
"10/29/2025","22,430.70","22,311.75","22,521.45","22,297.95","16.15M","0.81%"
"10/28/2025","22,250.90","22,316.85","22,377.40","22,147.60","15.90M","-0.27%"
"10/27/2025","22,310.40","22,405.70","22,411.55","22,272.35","18.31M","-0.21%"
"10/24/2025","22,357.35","22,492.05","22,517.90","22,273.05","21.96M","-0.55%"
"10/23/2025","22,481.25","22,665.00","22,667.45","22,441.25","23.37M","-0.15%"
"10/21/2025","22,515.70","22,509.50","22,547.85","22,477.15","3.38M","0.34%"
"10/20/2025","22,439.90","22,346.85","22,477.95","22,313.50","19.93M","0.84%"
"10/17/2025","22,253.75","22,122.20","22,341.05","22,039.00","14.70M","0.68%"
"10/16/2025","22,103.20","22,083.25","22,129.70","22,034.05","15.51M","0.21%"
"10/15/2025","22,057.30","22,047.05","22,146.90","22,007.90","15.75M","0.08%"
"10/14/2025","22,039.25","22,223.15","22,227.25","21,924.85","22.18M","-0.75%"
"10/13/2025","22,205.10","22,154.70","22,231.80","22,094.60","13.63M","-0.06%"
"10/10/2025","22,218.25","21,952.40","22,324.60","21,849.55","25.62M","1.29%"
